index_label,单词数,超链接,带话题,疫情相关,信用等级
719,64,False,False,False,"正常
"
720,41,False,False,False,"中
"
721,42,False,False,False,"正常
"
722,42,False,False,False,"正常
"
723,47,False,True,False,"低
"
724,47,True,False,False,"正常
"
725,33,True,True,False,"正常
"
726,13,True,False,False,"正常
"
727,26,True,True,False,"正常
"
728,42,False,False,False,"正常
"
729,28,True,False,False,"正常
"
730,54,False,True,False,"正常
"
731,37,False,False,True,"正常
"
732,19,False,False,False,"中
"
733,78,True,True,False,"正常
"
734,32,True,True,False,"正常
"
735,29,True,True,False,"中
"
736,20,True,False,False,"正常
"
737,78,False,False,False,"中
"
738,24,True,False,False,"正常
"
739,28,True,False,False,"正常
"
740,63,True,False,False,"正常
"
741,14,True,False,False,"正常
"
742,27,True,False,False,"正常
"
743,36,True,False,False,"正常
"
744,19,True,False,False,"正常
"
745,61,False,False,False,"正常
"
746,46,True,False,False,"正常
"
747,58,True,False,False,"正常
"
748,42,False,False,False,"正常
"
749,43,True,False,False,"中
"
750,31,True,False,False,"中
"
751,41,False,True,False,"正常
"
752,19,True,False,False,"正常
"
753,74,False,False,False,"正常
"
754,39,False,False,False,"正常
"
755,19,True,False,False,"正常
"
756,32,True,False,False,"正常
"
757,79,False,False,False,"正常
"
758,27,False,False,False,"正常
"
759,46,True,False,False,"正常
"
760,74,False,True,False,"正常
"
761,29,False,False,True,"正常
"
762,31,True,False,False,"中
"
763,62,False,False,False,"正常
"
764,44,True,False,False,"正常
"
765,16,False,False,False,"正常
"
766,16,False,False,False,"正常
"
767,11,False,True,False,"正常
"
768,38,False,False,False,"正常
"
769,43,False,False,False,"中
"
770,28,True,False,False,"中
"
771,41,True,True,False,"正常
"
772,69,False,False,False,"正常
"
773,28,True,False,False,"正常
"
774,63,True,False,False,"正常
"
775,32,True,False,False,"正常
"
776,30,True,False,False,"正常
"
777,23,True,False,False,"正常
"
778,18,True,False,False,"正常
"
779,47,True,False,False,"正常
"
780,6,False,False,False,"正常
"
